id,followers_count,comment_count,post_count,like_count,friends_count,group_count,posts_count,reposts_count,videos_count,audios_count,photos_count,gifts_count
1775,167,1,900,195,31,0,1,899,175,2908,127,0
1776,82,9,1800,364,147,0,78,1172,198,134,1243,12
1777,181,11,699,218,59,550,93,392,269,0,75,0
1778,282,1,2273,334,168,106,39,413,675,0,122,0
1779,72,435,300,393,28,34,31,269,637,0,530,0
1780,1964,3,700,512,819,2004,140,560,1843,0,1034,0
1781,35,1,1800,423,86,36,84,849,16,3,1764,43
1782,8,204,3500,1799,1491,3194,341,1682,9208,10000,13939,65
1783,32,3,400,1531,19,0,229,170,2165,8206,6090,0
1784,224,100,1000,1073,291,942,46,954,1018,0,2046,0
1785,9353,11,4519,67,9993,242,442,104,835,0,1059,736
1786,435,39,499,1493,199,350,194,305,1048,0,1805,0
1787,608,69,2300,858,1823,166,232,1255,1861,361,6,107
1788,143,1,500,121,475,702,21,479,1148,1596,1705,10
1789,33,73,600,213,20,0,7,368,2059,0,517,0
1790,4252,11,3193,1605,1538,0,920,175,2683,0,4965,0
1791,566,11,2000,1700,39,1300,13,1441,200,0,4,0
1792,293,28,600,52,157,660,336,22,407,0,2777,0
1793,308,11,900,1186,98,234,86,814,595,0,486,0
1794,0,541,84,2143,120,50,33,40,204,0,369,0
1795,2214,440,800,1079,758,3724,3,797,477,1773,1351,0
1796,2017,85,1950,2223,1135,732,409,46,69,0,1812,0
1797,197,27,900,55,297,2096,43,448,4280,1952,161,70
1798,107,72,1500,3698,57,8602,56,1085,337,529,1241,22
1799,193,319,1816,306,196,292,286,338,209,2276,987,0
1800,22,1,418,242,23,0,13,400,9,40,15,8
1801,47,23,3300,474,27,0,120,2480,1,93,424,0
1802,140,44,2600,893,86,552,147,2044,313,0,497,24
1803,113,15,2097,480,130,0,111,242,196,655,2535,0
1804,35,4,1700,235,26,132,25,999,5,0,549,0
1805,204,141,600,577,22,0,119,481,38,697,596,8
1806,637,17,799,1319,22,1470,59,437,234,0,1417,0
1807,73,34,4400,107,33,640,108,3092,76,0,363,0
1808,9,3,9277,361,31,0,132,3979,102,0,6,0
1809,12,15,1100,39,323,0,70,667,0,0,12,2
1810,204,4,9500,248,45,9960,315,5709,5,14,43,22
1811,3,2,775,465,1,0,21,697,0,4,18,2
1812,50,2,797,34,815,0,7,790,6,0,142,0
1813,1014,5,6314,247,682,2182,272,481,793,1728,10284,40
1814,235,311,500,2048,267,224,3,497,778,372,1632,30
1815,143,10609,100,155,791,30,10,42,148,0,131,0
1816,170,3,5110,107,193,198,14,567,1143,2241,115,13
1817,0,730,200,53,141,268,25,90,289,0,410,0
1818,89,1,657,19,399,0,556,28,23,14,1389,0
1819,17,83,400,344,228,1278,20,379,555,0,132,0
1820,68,575,2700,925,298,390,425,1322,203,250,8498,19
1821,228,7,600,26,3562,110,245,133,30,36,559,9
1822,91,208,700,1970,171,256,72,386,142,180,1202,20
1823,206,1271,300,1010,309,416,49,89,1997,0,927,0
1824,33,29,900,97,164,102,219,321,13,0,85,0
1825,162,1,400,189,175,782,44,356,142,595,499,0
1826,89,785,1400,974,12,554,102,629,71,160,2040,9
1827,404,2593,4084,85,515,466,159,285,2381,0,806,0
1828,114,2447,68,68,78,376,7,3,264,0,65,0
1829,87,1898,300,362,166,78,2,298,167,0,109,0
1830,259,157,1097,274,240,472,461,397,280,84,2813,38
